# version   feature

# 4             es5:json
5             window:hashchange

5.1           es5:object:seal
5.1           es5:object:freeze
5.1           es5:object:preventextensions
5.1           es5:object:issealed
5.1           es5:object:isfrozen
5.1           es5:object:isextensible

5.1           window:eventconstructor

# Actually supported in 5.1.4 but we don't detect down to that version level
# http://kangax.github.io/es5-compat-table/#safari-bind-note
6             es5:function:bind

6.1           window:raf
6.1           dom:node:transitionend
